freq,citizen,sex,unit,age,asyl_app,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,FI	3210 	3620 	32345 	5605 	4995 	4500 	4520 	3190 	2525 	5780 	5335 	2915 
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,FR	66265 	64310 	76165 	84270 	99330 	137665 	151070 	93200 	120685 	156455 	166940 	157850 
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,HR	1080 	450 	210 	2225 	975 	800 	1400 	1605 	2550 	2730 	1750 	1115 
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,HU	18895 	42775 	177135 	29430 	3390 	670 	500 	115 	40 	45 	30 	30 
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,IE	945 	1450 	3275 	2245 	2930 	3670 	4780 	1565 	2650 	13660 	13275 	18565 
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,IS	125 	170 	370 	1125 	1085 	775 	845 	640 	870 	4550 	4155 	1925 
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,IT	26620 	64625 	83540 	122960 	128850 	59950 	43770 	26940 	53610 	84290 	135820 	158605 
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,LI	55 	65 	150 	80 	150 	165 	50 	35 	95 	80 	80 	85 
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,LT	400 	440 	315 	430 	545 	405 	645 	315 	3940 	1025 	575 	360 
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,LU	1070 	1150 	2505 	2160 	2430 	2335 	2270 	1345 	1415 	2460 	2685 	2205 
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,LV	195 	375 	330 	350 	355 	185 	195 	180 	615 	620 	1700 	1040 
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,ME	: 	: 	: 	: 	: 	3100 	1920 	540 	270 	175 	145 	130 
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,MT	2250 	1350 	1845 	1930 	1840 	2130 	4090 	2480 	1595 	1320 	855 	725 
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,NL	13060 	24495 	44970 	20945 	18210 	24025 	25200 	15255 	26525 	37025 	39710 	33435 
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,NO	11930 	11415 	31115 	3490 	3520 	2660 	2265 	1375 	1635 	4840 	5350 	4940 
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,PL	15240 	8020 	12190 	12305 	5045 	4110 	4070 	2785 	7795 	9810 	9475 	16775 
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,PT	500 	440 	895 	1460 	1750 	1285 	1820 	1000 	1540 	2115 	2695 	: 
A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,RO	1495 	1545 	1260 	1880 	4815 	2135 	2590 	6155 	9585 	12355 	10095 	2400 
