Country,ISO3,citizen,sex,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Liechtenstein,LIE,EU28_FOR,T,6549,6688,6739,6846,6920,7005,,,,
Lithuania,LTU,EU28_FOR,T,2410,2050,1707,1459,1439,1458,,,,
Luxembourg,LUX,EU28_FOR,T,222192,229506,240290,244400,246053,247878,,,,
Latvia,LVA,EU28_FOR,T,6805,5974,5937,6192,6433,6590,,,,
Malta,MLT,EU28_FOR,T,18438,22827,28227,38875,43141,48258,,,,
Netherlands,NLD,EU28_FOR,T,430934,458705,489119,525626,567724,616632,,,,
Norway,NOR,EU28_FOR,T,327921,343085,348547,353045,360071,,,,,
Poland,POL,EU28_FOR,T,29962,25091,29447,30098,31644,36598,,,,
Portugal,PRT,EU28_FOR,T,99706,104710,117615,136337,158355,179377,,,,
Romania,ROU,EU28_FOR,T,33803,48030,53542,56732,60265,63591,,,,
Sweden,SWE,EU28_FOR,T,295968,303988,310518,318263,321964,322324,,,,
Slovenia,SVN,EU28_FOR,T,17165,17597,18720,19540,20700,21523,,,,
Slovakia,SVK,EU28_FOR,T,47202,50440,53511,55949,58308,60311,,,,
Turkey,TUR,EU28_FOR,T,132712,143956,148223,138494,148724,172989,,,,
Austria,AUT,NAT,F,3818840,3812853,3809500,3803960,3798472,3793909,3785435,3779283,3768901,3759205
Belgium,BEL,NAT,F,5087521,5093067,5101539,5111103,5118396,5129749,5130103,5141813,5151568,5166285
Bulgaria,BGR,NAT,F,3588456,3540948,3496277,3448925,3399956,3349366,3328331,3331528,3307891,3290231
Switzerland,CHE,NAT,F,3225369,3243134,3261194,3279200,3296630,3311802,3323850,3340015,3351137,3362792
Cyprus,CYP,NAT,F,352114,355357,358511,361499,362959,366162,368987,370963,369347,371694
Czechia,CZE,NAT,F,5164821,5162453,5157768,5166723,5165918,5172487,5102229,5092639,5089449,5080495
Germany,DEU,NAT,F,37702521,37613748,37514010,37417038,37317231,37228015,37120239,36999286,36678390,36524287
Denmark,DNK,NAT,F,2637096,2640008,2649782,2655613,2657991,2660442,2668057,2673313,2673510,2673779
Estonia,EST,NAT,F,603207,602421,602477,602662,603557,604324,604049,603138,602516,601620
Spain,ESP,NAT,F,21423187,21439750,21487084,21481810,21486980,21496278,21463559,21459130,21473559,21544520
Finland,FIN,NAT,F,2676792,2678405,2678630,2679838,2677177,2675430,2673727,2671910,2665908,2660906
France,FRA,NAT,F,32080080,32126018,32201449,32135712,32217067,32236839,32291426,32379018,32365110,32241575
Croatia,HRV,NAT,F,2156063,2132700,2108786,2078020,2052396,2029346,2006447,1984179,1960153,1942305
Hungary,HUN,NAT,F,5064217,5032262,5010103,4986001,4964253,4942592,4922213,4894579,4874759,4852518
Ireland,IRL,NAT,F,2096566,2113540,2140010,2158148,2187792,2209973,2233904,2274553,2280509,2289258
Iceland,ISL,NAT,F,152218,152777,153732,154921,155871,156863,158091,159907,160376,159434
Italy,ITA,NAT,F,28502891,28416843,28353665,28236011,28103605,27983433,27722737,27648663,27558567,27473494
Liechtenstein,LIE,NAT,F,12582,12604,12682,12781,12839,12905,12968,13064,13170,13267
Lithuania,LTU,NAT,F,1570481,1554534,1535286,1517240,1507800,1501028,1496615,1488535,1480495,1474354
Luxembourg,LUX,NAT,F,154944,156355,157238,159467,163722,167376,170248,173216,176276,179697
Latvia,LVA,NAT,F,915456,910648,905305,899920,894562,890337,886026,879303,873077,868277
Malta,MLT,NAT,F,201051,201289,201580,201822,202012,202161,202346,202458,202973,203157
Netherlands,NLD,NAT,F,8099631,8109182,8121847,8134492,8147017,8166390,8191173,8217436,8232144,8248690
Norway,NOR,NAT,F,2334393,2344347,2354664,2368524,2375047,2383632,2396446,2421749,2440699,2459127
Poland,POL,NAT,F,19557703,19523888,19505634,19493817,19471577,19436471,18921182,18836332,18775396,18712716
Portugal,PRT,NAT,F,5272148,5263850,5246572,5235895,5212883,5191352,5160606,5144906,5117735,5060598
Romania,ROU,NAT,F,10134344,10077133,10004901,9941613,9874060,9822121,9766778,,9708821,9709845
Sweden,SWE,NAT,F,4525679,4554393,4590516,4628194,4662577,4700938,4740198,4786740,4828909,4852748
Slovenia,SVN,NAT,F,1006465,1003560,1000646,996820,994889,992496,991297,988217,984067,980707
Slovakia,SVK,NAT,F,2755476,2755264,2757413,2759143,2760616,2762727,2762223,2751757,2748143,2745204
Turkey,TUR,NAT,F,38438339,38889701,39351737,39806772,40254419,40680572,,,41653729,41830435
Austria,AUT,NAT,M,3620008,3619944,3621435,3622427,3621380,3620932,3616157,3612937,3606051,3598679
Belgium,BEL,NAT,M,4872850,4884807,4896413,4911054,4923373,4939372,4945805,4960944,4975630,4992918
Bulgaria,BGR,NAT,M,3374852,3322164,3271558,3219786,3165048,3108223,3082002,3085543,3054556,3032564
Switzerland,CHE,NAT,M,3013838,3035325,3057210,3078538,3099622,3118856,3135662,3154595,3168225,3182178
Cyprus,CYP,NAT,M,342625,345694,348334,351972,357330,360838,361459,363681,360277,362686
Czechia,CZE,NAT,M,4916129,4915044,4910209,4927909,4926424,4934806,4904075,4885831,4882992,4874500
Germany,DEU,NAT,M,35955242,35909978,35787654,35696445,35612690,35540674,35449739,35344785,34944976,34822770
Denmark,DNK,NAT,M,2600060,2604096,2614001,2619585,2622192,2625199,2632494,2637859,2637977,2637476
