freq,unit,citizen,sex,age,asyl_app,geo\TIME_PERIOD	2024-03 	2024-04 	2024-05 	2024-06 	2024-07 	2024-08 	2024-09 	2024-10 	2024-11 	2024-12 	2025-01 	2025-02 
M,PER,EXT_EU27_2020,T,TOTAL,NASY_APP,SE	595 	575 	580 	495 	485 	535 	595 	565 	490 	480 	475 	520 
M,PER,EXT_EU27_2020,T,TOTAL,NASY_APP,SI	415 	410 	305 	275 	450 	575 	475 	540 	450 	445 	255 	: 
M,PER,EXT_EU27_2020,T,TOTAL,NASY_APP,SK	15 	10 	10 	5 	15 	10 	10 	10 	10 	15 	10 	: 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,AT	265 	265 	170 	210 	225 	200 	175 	315 	365 	270 	590 	: 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,BE	490 	535 	605 	505 	535 	525 	560 	685 	445 	525 	690 	630 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,BG	5 	10 	5 	10 	5 	10 	0 	10 	15 	10 	5 	: 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,CH	850 	575 	645 	295 	300 	250 	220 	210 	260 	215 	190 	: 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,CY	210 	210 	155 	120 	170 	80 	85 	100 	95 	40 	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,CZ	35 	30 	30 	25 	30 	25 	25 	30 	30 	20 	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,DE	1970 	1935 	1580 	1615 	1770 	1605 	1615 	1865 	1615 	1530 	1660 	1590 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,DK	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m	: m
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,EE	0 	0 	0 	0 	5 	0 	5 	5 	0 	5 	0 	0 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,EL	485 	580 	80 	405 	640 	560 	230 	215 	235 	265 	770 	: 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,ES	150 	160 	195 	145 	125 	175 	225 	250 	210 	170 	155 	170 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,EU27_2020	7175 	7305 	6305 	6550 	7110 	6340 	6415 	8045 	7005 	6560 e	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,FI	60 	50 	35 	55 	45 	40 	60 	50 	50 	30 	40 	55 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,FR	2240 	2215 	1905 	2160 	2075 	1900 	2055 	2960 	2635 	2310 	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,HR	0 	20 	5 	5 	15 	15 	10 	15 	10 	15 	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,HU	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,IE	10 	0 	10 	5 	15 	10 	15 	10 	15 	35 	15 	: 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,IS	0 	5 	10 	10 	5 	0 	0 	5 	5 	5 	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,IT	625 	650 	755 	640 	700 	480 	670 	775 	640 	535 	625 	: 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,LI	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,LT	15 	0 	5 	10 	0 	10 	0 	0 	0 	10 	5 	5 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,LU	5 	0 	10 	5 	5 	10 	5 	10 	5 	10 	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,LV	25 	20 	15 	35 	35 	15 	20 	25 	5 	15 	15 	: 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,ME	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,MT	5 	0 	10 	5 	10 	5 	5 	5 	0 	5 	0 	: 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,NL	120 	120 	120 	115 	145 	125 	145 	140 	90 	115 	135 	125 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,NO	5 	5 	5 	5 	5 	5 	5 	0 	0 	0 	0 	0 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,PL	100 	185 	275 	235 	245 	185 	185 	195 	225 	355 	490 	465 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,PT	0 	0 	0 	0 	0 	10 	0 	0 	0 	0 	: 	: 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,RO	15 	20 	30 	5 	5 	15 	0 	5 	0 	5 	5 	: 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,SE	335 	275 	305 	245 	295 	325 	325 	380 	295 	275 	260 	250 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,SI	5 	5 	5 	5 	5 	5 	5 	5 	10 	10 	10 	: 
M,PER,EXT_EU27_2020,T,TOTAL,SSEQ,SK	0 	5 	0 	0 	0 	0 	0 	0 	0 	0 	5 	: 
